competitor_id,market,category,need_state,competitor_brand,estimated_share_pct,price_index
CMP-001,BE,cold_flu,cough,Lumenta Cold,15.8,1.29
CMP-002,BE,cold_flu,nasal_congestion,Medrova Cold,3.1,0.95
CMP-003,BE,cold_flu,sore_throat,Norvexa Cold,16.8,0.98
CMP-004,BE,allergy,seasonal_allergy,Lumenta Allergy,14.2,1.18
CMP-005,BE,allergy,eye_allergy,Medrova Allergy,15.1,1.31
CMP-006,BE,pain,headache,Norvexa Pain,14.9,0.91
CMP-007,BE,pain,muscle_pain,Lumenta Pain,10.0,1.31
CMP-008,BE,pain,headache,Medrova Pain,10.5,0.86
CMP-009,BE,digestive,heartburn,Norvexa Digestive,11.9,1.09
CMP-010,BE,digestive,gut_health,Lumenta Digestive,17.7,1.03
CMP-011,BE,vitamins,immunity,Medrova Vitamins,18.2,1.33
CMP-012,BE,vitamins,energy,Norvexa Vitamins,18.6,1.00
CMP-013,BE,vitamins,immunity,Lumenta Vitamins,16.6,1.08
CMP-014,BE,skin,dry_skin,Medrova Skin,19.8,0.96
CMP-015,BE,skin,wound_care,Norvexa Skin,15.1,1.07
CMP-016,DE,cold_flu,cough,Lumenta Cold,18.2,0.87
CMP-017,DE,cold_flu,nasal_congestion,Medrova Cold,6.8,1.03
CMP-018,DE,cold_flu,sore_throat,Norvexa Cold,15.2,0.88
CMP-019,DE,allergy,seasonal_allergy,Lumenta Allergy,9.2,1.20
CMP-020,DE,allergy,eye_allergy,Medrova Allergy,19.9,1.12
CMP-021,DE,pain,headache,Norvexa Pain,11.5,1.05
CMP-022,DE,pain,muscle_pain,Lumenta Pain,17.5,0.88
CMP-023,DE,pain,headache,Medrova Pain,14.2,1.21
CMP-024,DE,digestive,heartburn,Norvexa Digestive,11.4,0.79
CMP-025,DE,digestive,gut_health,Lumenta Digestive,7.7,1.23
CMP-026,DE,vitamins,immunity,Medrova Vitamins,19.6,1.21
CMP-027,DE,vitamins,energy,Norvexa Vitamins,3.9,1.12
CMP-028,DE,vitamins,immunity,Lumenta Vitamins,17.7,0.90
CMP-029,DE,skin,dry_skin,Medrova Skin,5.0,1.07
CMP-030,DE,skin,wound_care,Norvexa Skin,10.5,1.10
CMP-031,PL,cold_flu,cough,Lumenta Cold,13.8,1.24
CMP-032,PL,cold_flu,nasal_congestion,Medrova Cold,5.9,1.23
CMP-033,PL,cold_flu,sore_throat,Norvexa Cold,14.0,1.04
CMP-034,PL,allergy,seasonal_allergy,Lumenta Allergy,11.0,0.93
CMP-035,PL,allergy,eye_allergy,Medrova Allergy,19.6,1.12
CMP-036,PL,pain,headache,Norvexa Pain,10.5,1.13
CMP-037,PL,pain,muscle_pain,Lumenta Pain,17.7,1.33
CMP-038,PL,pain,headache,Medrova Pain,3.9,0.81
CMP-039,PL,digestive,heartburn,Norvexa Digestive,4.8,1.34
CMP-040,PL,digestive,gut_health,Lumenta Digestive,6.5,0.97
CMP-041,PL,vitamins,immunity,Medrova Vitamins,4.9,1.26
CMP-042,PL,vitamins,energy,Norvexa Vitamins,10.4,0.91
CMP-043,PL,vitamins,immunity,Lumenta Vitamins,9.8,1.25
CMP-044,PL,skin,dry_skin,Medrova Skin,12.0,1.33
CMP-045,PL,skin,wound_care,Norvexa Skin,17.3,1.00
CMP-046,RS,cold_flu,cough,Lumenta Cold,15.7,1.01
CMP-047,RS,cold_flu,nasal_congestion,Medrova Cold,9.2,0.92
CMP-048,RS,cold_flu,sore_throat,Norvexa Cold,21.4,1.33
CMP-049,RS,allergy,seasonal_allergy,Lumenta Allergy,17.6,1.18
CMP-050,RS,allergy,eye_allergy,Medrova Allergy,9.4,1.32
CMP-051,RS,pain,headache,Norvexa Pain,15.8,1.00
CMP-052,RS,pain,muscle_pain,Lumenta Pain,13.6,0.96
CMP-053,RS,pain,headache,Medrova Pain,4.3,1.32
CMP-054,RS,digestive,heartburn,Norvexa Digestive,17.4,0.95
CMP-055,RS,digestive,gut_health,Lumenta Digestive,10.2,1.29
CMP-056,RS,vitamins,immunity,Medrova Vitamins,15.9,1.06
CMP-057,RS,vitamins,energy,Norvexa Vitamins,17.9,1.29
CMP-058,RS,vitamins,immunity,Lumenta Vitamins,16.6,0.98
CMP-059,RS,skin,dry_skin,Medrova Skin,11.4,1.27
CMP-060,RS,skin,wound_care,Norvexa Skin,5.8,0.98
