launch_id,market,category,need_state,launch_year,market_population_m,forecast_year1_units,actual_year1_units,net_price_eur,contribution_margin_pct,launch_ap_eur,h1_share_of_year1
LNC-001,BE,cold_flu,cough,2021,11.7,54935,52786,10.13,0.620,1409879.18,0.472
LNC-002,DE,allergy,seasonal_allergy,2022,84.4,246450,239002,10.88,0.660,899877.89,0.474
LNC-003,PL,pain,headache,2023,36.7,306280,271171,5.19,0.580,1028001.53,0.434
LNC-004,RS,digestive,heartburn,2024,6.6,20346,16126,7.58,0.640,1232517.83,0.362
LNC-005,BE,vitamins,immunity,2021,11.7,64379,59246,15.50,0.700,708974.65,0.354
LNC-006,DE,skin,dry_skin,2022,84.4,251220,218590,9.32,0.600,1274433.23,0.386
LNC-007,PL,cold_flu,nasal_congestion,2023,36.7,339920,270800,5.99,0.620,1535766.60,0.438
LNC-008,RS,allergy,eye_allergy,2024,6.6,20059,17688,6.80,0.660,1333446.42,0.304
LNC-009,BE,pain,muscle_pain,2021,11.7,95638,79847,7.17,0.580,1200904.90,0.351
LNC-010,DE,digestive,gut_health,2022,84.4,295706,233518,14.02,0.640,1584823.24,0.428
LNC-011,PL,vitamins,energy,2023,36.7,249998,200306,11.02,0.700,1442784.14,0.415
LNC-012,RS,skin,wound_care,2024,6.6,30183,28205,5.77,0.600,920434.71,0.437
LNC-013,BE,cold_flu,sore_throat,2021,11.7,88305,74193,8.97,0.620,960563.96,0.328
LNC-014,DE,allergy,seasonal_allergy,2022,84.4,414816,363241,11.54,0.660,1422332.76,0.381
LNC-015,PL,pain,headache,2023,36.7,347423,322497,5.40,0.580,729391.62,0.365
LNC-016,RS,digestive,heartburn,2024,6.6,38247,32076,8.42,0.640,1225869.57,0.360
LNC-017,BE,vitamins,immunity,2021,11.7,71358,67225,16.16,0.700,1274678.29,0.380
LNC-018,DE,skin,dry_skin,2022,84.4,345519,270773,10.53,0.600,1395085.65,0.440
LNC-019,PL,cold_flu,cough,2023,36.7,269838,232400,5.76,0.620,1444708.06,0.466
LNC-020,RS,allergy,eye_allergy,2024,6.6,33453,29552,7.21,0.660,725309.62,0.434
LNC-021,BE,pain,muscle_pain,2021,11.7,68640,65202,7.32,0.580,1448876.54,0.406
LNC-022,DE,digestive,gut_health,2022,84.4,402797,317355,13.79,0.640,571249.00,0.322
LNC-023,PL,vitamins,energy,2023,36.7,159504,122702,10.31,0.700,962348.56,0.379
LNC-024,RS,skin,wound_care,2024,6.6,26574,20476,5.76,0.600,717301.60,0.430
LNC-025,BE,cold_flu,nasal_congestion,2021,11.7,96938,89394,8.81,0.620,607014.47,0.307
LNC-026,DE,allergy,seasonal_allergy,2022,84.4,302643,240597,11.88,0.660,954794.28,0.456
LNC-027,PL,pain,headache,2023,36.7,338400,260673,5.22,0.580,1534985.08,0.464
LNC-028,RS,digestive,heartburn,2024,6.6,18642,18170,8.56,0.640,916493.06,0.358
LNC-029,BE,vitamins,immunity,2021,11.7,90471,70838,17.64,0.700,1451999.19,0.398
LNC-030,DE,skin,dry_skin,2022,84.4,344455,270789,10.25,0.600,949413.42,0.433
LNC-031,PL,cold_flu,sore_throat,2023,36.7,141859,127846,6.65,0.620,1264521.80,0.381
LNC-032,RS,allergy,eye_allergy,2024,6.6,17588,16569,7.39,0.660,956345.93,0.307
LNC-033,BE,pain,muscle_pain,2021,11.7,76037,70142,7.39,0.580,863075.91,0.479
LNC-034,DE,digestive,gut_health,2022,84.4,499909,405993,12.23,0.640,1540400.23,0.444
LNC-035,PL,vitamins,energy,2023,36.7,191273,175919,10.16,0.700,1220277.23,0.406
