sku_id,brand_id,market,sku_name,category,need_state,net_price_eur,contribution_margin_pct,base_rate_of_sale_units_week,cannibalisation_rate,is_primary
BE-001-S1,BE-001,BE,Kalvora 10 units,cold_flu,cough,7.79,0.577,17181.7,0.0141,yes
BE-001-S2,BE-001,BE,Kalvora 20 units,cold_flu,cough,9.43,0.577,9371.9,0.0159,no
BE-002-S1,BE-002,BE,Rhinexa 20 units,allergy,eye_allergy,9.57,0.636,8316.5,0.0116,yes
BE-002-S2,BE-002,BE,Rhinexa 30 units,allergy,eye_allergy,11.60,0.636,4536.2,0.0150,no
BE-003-S1,BE-003,BE,Bronchyl 30 units,pain,headache,6.67,0.556,16053.6,0.0156,yes
BE-003-S2,BE-003,BE,Bronchyl 60 ml,pain,headache,8.09,0.556,8756.5,0.0086,no
BE-003-S3,BE-003,BE,Bronchyl 100 ml,pain,headache,9.50,0.556,4378.2,0.0050,no
BE-004-S1,BE-004,BE,Allerdyn 10 units,digestive,gut_health,12.05,0.680,10365.9,0.0054,yes
BE-004-S2,BE-004,BE,Allerdyn 20 units,digestive,gut_health,14.61,0.680,5654.1,0.0134,no
BE-005-S1,BE-005,BE,Gastrivo 20 units,vitamins,immunity,13.58,0.678,11269.7,0.0078,yes
BE-005-S2,BE-005,BE,Gastrivo 30 units,vitamins,immunity,16.46,0.678,6147.1,0.0103,no
BE-005-S3,BE-005,BE,Gastrivo 60 ml,vitamins,immunity,19.34,0.678,3073.5,0.0114,no
BE-006-S1,BE-006,BE,Dermalix 30 units,skin,wound_care,8.49,0.600,9707.7,0.0110,yes
BE-006-S2,BE-006,BE,Dermalix 60 ml,skin,wound_care,10.29,0.600,5295.1,0.0109,no
BE-006-S3,BE-006,BE,Dermalix 100 ml,skin,wound_care,12.09,0.600,2647.6,0.0135,no
BE-007-S1,BE-007,BE,Immunova 10 units,cold_flu,cough,7.37,0.615,13611.7,0.0150,yes
BE-007-S2,BE-007,BE,Immunova 20 units,cold_flu,cough,8.93,0.615,7424.5,0.0046,no
BE-007-S3,BE-007,BE,Immunova 30 units,cold_flu,cough,10.49,0.615,3712.3,0.0082,no
BE-008-S1,BE-008,BE,Zentheva 20 units,allergy,eye_allergy,9.66,0.683,7201.1,0.0140,yes
BE-008-S2,BE-008,BE,Zentheva 30 units,allergy,eye_allergy,11.71,0.683,3927.9,0.0057,no
BE-009-S1,BE-009,BE,Nasolyn 30 units,pain,headache,6.58,0.581,20996.4,0.0144,yes
BE-009-S2,BE-009,BE,Nasolyn 60 ml,pain,headache,7.97,0.581,11452.6,0.0114,no
BE-010-S1,BE-010,BE,Tussivar 10 units,digestive,gut_health,11.11,0.588,8666.1,0.0048,yes
BE-010-S2,BE-010,BE,Tussivar 20 units,digestive,gut_health,13.46,0.588,4726.9,0.0109,no
BE-011-S1,BE-011,BE,Pollenex 20 units,vitamins,immunity,12.83,0.673,10288.0,0.0104,yes
BE-011-S2,BE-011,BE,Pollenex 30 units,vitamins,immunity,15.55,0.673,5611.6,0.0154,no
BE-012-S1,BE-012,BE,Ventaris 30 units,skin,wound_care,9.16,0.638,7724.9,0.0079,yes
BE-012-S2,BE-012,BE,Ventaris 60 ml,skin,wound_care,11.10,0.638,4213.6,0.0053,no
BE-012-S3,BE-012,BE,Ventaris 100 ml,skin,wound_care,13.04,0.638,2106.8,0.0094,no
DE-001-S1,DE-001,DE,Cutalis 30 units,cold_flu,nasal_congestion,7.49,0.622,133921.2,0.0121,yes
DE-001-S2,DE-001,DE,Cutalis 60 ml,cold_flu,nasal_congestion,9.07,0.622,73047.9,0.0065,no
DE-002-S1,DE-002,DE,Vitarel 10 units,allergy,seasonal_allergy,9.89,0.642,51503.3,0.0110,yes
DE-002-S2,DE-002,DE,Vitarel 20 units,allergy,seasonal_allergy,11.98,0.642,28092.7,0.0124,no
DE-003-S1,DE-003,DE,Enterix 20 units,pain,muscle_pain,6.35,0.605,83880.5,0.0054,yes
DE-003-S2,DE-003,DE,Enterix 30 units,pain,muscle_pain,7.69,0.605,45753.0,0.0126,no
DE-003-S3,DE-003,DE,Enterix 60 ml,pain,muscle_pain,9.04,0.605,22876.5,0.0119,no
DE-004-S1,DE-004,DE,Algivan 30 units,digestive,heartburn,11.17,0.637,63240.2,0.0139,yes
DE-004-S2,DE-004,DE,Algivan 60 ml,digestive,heartburn,13.53,0.637,34494.6,0.0129,no
DE-004-S3,DE-004,DE,Algivan 100 ml,digestive,heartburn,15.90,0.637,17247.3,0.0044,no
DE-005-S1,DE-005,DE,Myoril 10 units,vitamins,energy,12.32,0.670,75956.2,0.0117,yes
DE-005-S2,DE-005,DE,Myoril 20 units,vitamins,energy,14.92,0.670,41430.7,0.0040,no
DE-006-S1,DE-006,DE,Sinuvent 20 units,skin,dry_skin,8.42,0.657,47429.3,0.0061,yes
DE-006-S2,DE-006,DE,Sinuvent 30 units,skin,dry_skin,10.21,0.657,25870.5,0.0075,no
DE-006-S3,DE-006,DE,Sinuvent 60 ml,skin,dry_skin,11.99,0.657,12935.3,0.0084,no
DE-007-S1,DE-007,DE,Histalim 30 units,cold_flu,nasal_congestion,7.48,0.611,121654.3,0.0092,yes
DE-007-S2,DE-007,DE,Histalim 60 ml,cold_flu,nasal_congestion,9.06,0.611,66356.9,0.0127,no
DE-007-S3,DE-007,DE,Histalim 100 ml,cold_flu,nasal_congestion,10.65,0.611,33178.4,0.0145,no
DE-008-S1,DE-008,DE,Reflexan 10 units,allergy,seasonal_allergy,9.86,0.643,49754.8,0.0064,yes
DE-008-S2,DE-008,DE,Reflexan 20 units,allergy,seasonal_allergy,11.95,0.643,27139.0,0.0081,no
DE-008-S3,DE-008,DE,Reflexan 30 units,allergy,seasonal_allergy,14.04,0.643,13569.5,0.0072,no
DE-009-S1,DE-009,DE,Probivia 20 units,pain,muscle_pain,6.13,0.613,116222.4,0.0128,yes
DE-009-S2,DE-009,DE,Probivia 30 units,pain,muscle_pain,7.43,0.613,63394.0,0.0069,no
DE-009-S3,DE-009,DE,Probivia 60 ml,pain,muscle_pain,8.72,0.613,31697.0,0.0135,no
DE-010-S1,DE-010,DE,Solarix 30 units,digestive,heartburn,10.64,0.599,67103.1,0.0090,yes
DE-010-S2,DE-010,DE,Solarix 60 ml,digestive,heartburn,12.90,0.599,36601.7,0.0050,no
DE-011-S1,DE-011,DE,Ferrovita 10 units,vitamins,energy,12.11,0.745,73003.3,0.0122,yes
DE-011-S2,DE-011,DE,Ferrovita 20 units,vitamins,energy,14.68,0.745,39820.0,0.0143,no
DE-011-S3,DE-011,DE,Ferrovita 30 units,vitamins,energy,17.24,0.745,19910.0,0.0073,no
DE-012-S1,DE-012,DE,Neuralgo 20 units,skin,dry_skin,7.59,0.593,60847.3,0.0131,yes
DE-012-S2,DE-012,DE,Neuralgo 30 units,skin,dry_skin,9.20,0.593,33189.5,0.0089,no
PL-001-S1,PL-001,PL,Thoraxin 20 units,cold_flu,sore_throat,4.90,0.585,42737.5,0.0041,yes
PL-001-S2,PL-001,PL,Thoraxin 30 units,cold_flu,sore_throat,5.94,0.585,23311.3,0.0046,no
PL-001-S3,PL-001,PL,Thoraxin 60 ml,cold_flu,sore_throat,6.98,0.585,11655.7,0.0099,no
PL-002-S1,PL-002,PL,Claritan 30 units,allergy,eye_allergy,6.97,0.704,22407.8,0.0100,yes
PL-002-S2,PL-002,PL,Claritan 60 ml,allergy,eye_allergy,8.45,0.704,12222.4,0.0071,no
PL-002-S3,PL-002,PL,Claritan 100 ml,allergy,eye_allergy,9.92,0.704,6111.2,0.0132,no
PL-003-S1,PL-003,PL,Epidermo 10 units,pain,headache,4.21,0.544,47127.0,0.0118,yes
PL-003-S2,PL-003,PL,Epidermo 20 units,pain,headache,5.10,0.544,25705.7,0.0111,no
PL-004-S1,PL-004,PL,Colovance 20 units,digestive,gut_health,7.37,0.609,36080.8,0.0117,yes
PL-004-S2,PL-004,PL,Colovance 30 units,digestive,gut_health,8.93,0.609,19680.5,0.0087,no
PL-005-S1,PL-005,PL,Respiven 30 units,vitamins,immunity,8.58,0.734,39664.4,0.0123,yes
PL-005-S2,PL-005,PL,Respiven 60 ml,vitamins,immunity,10.39,0.734,21635.1,0.0119,no
PL-005-S3,PL-005,PL,Respiven 100 ml,vitamins,immunity,12.21,0.734,10817.5,0.0085,no
PL-006-S1,PL-006,PL,Aurivit 10 units,skin,wound_care,5.97,0.545,31170.7,0.0125,yes
PL-006-S2,PL-006,PL,Aurivit 20 units,skin,wound_care,7.23,0.545,17002.2,0.0111,no
PL-007-S1,PL-007,PL,Lacrimex 20 units,cold_flu,sore_throat,5.35,0.594,44581.4,0.0141,yes
PL-007-S2,PL-007,PL,Lacrimex 30 units,cold_flu,sore_throat,6.49,0.594,24317.1,0.0096,no
PL-007-S3,PL-007,PL,Lacrimex 60 ml,cold_flu,sore_throat,7.62,0.594,12158.6,0.0092,no
PL-008-S1,PL-008,PL,Dolorex 30 units,allergy,eye_allergy,6.76,0.602,29689.7,0.0092,yes
PL-008-S2,PL-008,PL,Dolorex 60 ml,allergy,eye_allergy,8.19,0.602,16194.4,0.0124,no
PL-008-S3,PL-008,PL,Dolorex 100 ml,allergy,eye_allergy,9.62,0.602,8097.2,0.0138,no
PL-009-S1,PL-009,PL,Mucolex 10 units,pain,headache,4.58,0.639,57000.8,0.0071,yes
PL-009-S2,PL-009,PL,Mucolex 20 units,pain,headache,5.55,0.639,31091.3,0.0063,no
PL-010-S1,PL-010,PL,Biotivia 20 units,digestive,gut_health,7.80,0.649,29695.5,0.0160,yes
PL-010-S2,PL-010,PL,Biotivia 30 units,digestive,gut_health,9.46,0.649,16197.6,0.0078,no
PL-010-S3,PL-010,PL,Biotivia 60 ml,digestive,gut_health,11.11,0.649,8098.8,0.0058,no
PL-011-S1,PL-011,PL,Skinvera 30 units,vitamins,immunity,9.42,0.718,41563.8,0.0098,yes
PL-011-S2,PL-011,PL,Skinvera 60 ml,vitamins,immunity,11.41,0.718,22671.2,0.0155,no
PL-011-S3,PL-011,PL,Skinvera 100 ml,vitamins,immunity,13.41,0.718,11335.6,0.0126,no
PL-012-S1,PL-012,PL,Nutrilan 10 units,skin,wound_care,6.46,0.600,36995.1,0.0150,yes
PL-012-S2,PL-012,PL,Nutrilan 20 units,skin,wound_care,7.83,0.600,20179.1,0.0081,no
RS-001-S1,RS-001,RS,Pharyngo 10 units,cold_flu,cough,4.13,0.622,8267.9,0.0121,yes
RS-001-S2,RS-001,RS,Pharyngo 20 units,cold_flu,cough,5.01,0.622,4509.8,0.0061,no
RS-001-S3,RS-001,RS,Pharyngo 30 units,cold_flu,cough,5.88,0.622,2254.9,0.0099,no
RS-002-S1,RS-002,RS,Osmolyn 20 units,allergy,seasonal_allergy,5.99,0.605,923.9,0.1050,yes
RS-002-S2,RS-002,RS,Osmolyn 30 units,allergy,seasonal_allergy,7.26,0.605,504.0,0.0868,no
RS-002-S3,RS-002,RS,Osmolyn 60 ml,allergy,seasonal_allergy,8.53,0.605,252.0,0.0861,no
RS-003-S1,RS-003,RS,Cardivit 30 units,pain,muscle_pain,3.39,0.541,11920.9,0.0041,yes
RS-003-S2,RS-003,RS,Cardivit 60 ml,pain,muscle_pain,4.11,0.541,6502.3,0.0112,no
RS-004-S1,RS-004,RS,Somnera 10 units,digestive,heartburn,6.48,0.647,4195.3,0.0063,yes
RS-004-S2,RS-004,RS,Somnera 20 units,digestive,heartburn,7.85,0.647,2288.3,0.0136,no
RS-004-S3,RS-004,RS,Somnera 30 units,digestive,heartburn,9.22,0.647,1144.2,0.0113,no
RS-005-S1,RS-005,RS,Venoxil 20 units,vitamins,energy,7.57,0.661,6191.7,0.0074,yes
RS-005-S2,RS-005,RS,Venoxil 30 units,vitamins,energy,9.17,0.661,3377.3,0.0160,no
RS-006-S1,RS-006,RS,Hepatiq 30 units,skin,wound_care,5.05,0.580,6047.7,0.0140,yes
RS-006-S2,RS-006,RS,Hepatiq 60 ml,skin,wound_care,6.12,0.580,3298.8,0.0065,no
RS-007-S1,RS-007,RS,Uroventa 10 units,cold_flu,cough,4.05,0.663,9085.8,0.0063,yes
RS-007-S2,RS-007,RS,Uroventa 20 units,cold_flu,cough,4.90,0.663,4955.9,0.0081,no
RS-007-S3,RS-007,RS,Uroventa 30 units,cold_flu,cough,5.76,0.663,2478.0,0.0144,no
RS-008-S1,RS-008,RS,Zincora 20 units,allergy,seasonal_allergy,5.64,0.669,4047.4,0.0909,yes
RS-008-S2,RS-008,RS,Zincora 30 units,allergy,seasonal_allergy,6.84,0.669,2207.6,0.0723,no
RS-009-S1,RS-009,RS,Magnevia 30 units,pain,muscle_pain,3.72,0.610,6828.6,0.0068,yes
RS-009-S2,RS-009,RS,Magnevia 60 ml,pain,muscle_pain,4.51,0.610,3724.7,0.0102,no
RS-009-S3,RS-009,RS,Magnevia 100 ml,pain,muscle_pain,5.30,0.610,1862.3,0.0074,no
RS-010-S1,RS-010,RS,Omegalis 10 units,digestive,heartburn,6.30,0.676,4570.3,0.0152,yes
RS-010-S2,RS-010,RS,Omegalis 20 units,digestive,heartburn,7.63,0.676,2492.9,0.0042,no
