activation_id,market,brand_id,category,need_state,mechanic,year,start_month,duration_weeks,spend_eur,measured_uplift_pct,data_quality
ACT-0001,BE,BE-001,cold_flu,cough,in_pharmacy_display,2024,10,6,72000.00,17.40,high
ACT-0002,BE,BE-001,cold_flu,cough,in_pharmacy_display,2025,11,6,88000.00,20.10,high
ACT-0003,BE,BE-001,cold_flu,cough,in_pharmacy_display,2023,1,4,61000.00,16.20,high
ACT-0004,BE,BE-001,cold_flu,cough,in_pharmacy_display,2024,12,8,96000.00,22.60,high
ACT-0005,BE,BE-001,cold_flu,cough,in_pharmacy_display,2025,2,6,79000.00,19.30,high
ACT-0006,BE,BE-001,cold_flu,cough,in_pharmacy_display,2023,10,6,105000.00,21.40,high
ACT-0007,DE,DE-005,vitamins,immunity,digital_awareness,2024,4,8,330000.00,3.10,high
ACT-0008,DE,DE-005,vitamins,immunity,digital_awareness,2025,5,8,360000.00,4.40,high
ACT-0009,DE,DE-005,vitamins,immunity,digital_awareness,2023,4,6,345000.00,5.20,high
ACT-0010,DE,DE-005,vitamins,immunity,digital_awareness,2024,5,8,395000.00,8.60,high
ACT-0011,DE,DE-005,vitamins,immunity,digital_awareness,2025,6,8,410000.00,9.40,high
ACT-0012,DE,DE-005,vitamins,immunity,digital_awareness,2023,3,6,430000.00,11.80,high
ACT-0013,RS,RS-002,allergy,seasonal_allergy,in_pharmacy_display,2024,4,6,15000.00,9.80,high
ACT-0014,RS,RS-002,allergy,seasonal_allergy,in_pharmacy_display,2025,5,6,18000.00,11.40,high
ACT-0015,RS,RS-002,allergy,seasonal_allergy,in_pharmacy_display,2023,3,4,13000.00,8.60,high
ACT-0016,RS,RS-002,allergy,seasonal_allergy,in_pharmacy_display,2024,5,8,20000.00,12.10,high
ACT-0017,DE,DE-005,vitamins,immunity,in_pharmacy_display,2025,9,6,502108.61,31.92,low
ACT-0018,DE,DE-006,skin,dry_skin,digital_awareness,2023,3,6,123158.74,15.79,high
ACT-0019,DE,DE-007,cold_flu,cough,hcp_detailing,2024,9,14,419678.61,12.10,high
ACT-0020,DE,DE-008,allergy,seasonal_allergy,pharmacist_incentive,2025,6,8,473879.42,23.48,high
ACT-0021,DE,DE-009,pain,headache,retail_media,2023,12,4,160256.15,16.37,high
ACT-0022,DE,DE-010,digestive,heartburn,price_promo,2024,5,4,541616.28,48.68,low
