brand_id,brand_name,market,category,need_state,net_price_eur,cogs_eur,contribution_margin_pct,base_rate_of_sale_units_week,seasonality_m1,seasonality_m2,seasonality_m3,seasonality_m4,seasonality_m5,seasonality_m6,seasonality_m7,seasonality_m8,seasonality_m9,seasonality_m10,seasonality_m11,seasonality_m12
BE-001,Kalvora,BE,cold_flu,cough,9.16,3.87,0.577,26553.6,1.5500,1.4763,1.2750,1.0000,0.7250,0.5237,0.4500,0.5237,0.7250,1.0000,1.2750,1.4763
BE-002,Rhinexa,BE,allergy,seasonal_allergy,11.26,4.10,0.636,12852.7,0.7750,1.0000,1.2250,1.3897,1.4500,1.3897,1.2250,1.0000,0.7750,0.6103,0.5500,0.6103
BE-003,Bronchyl,BE,pain,headache,7.85,3.49,0.556,29188.3,1.0600,1.0000,0.9400,0.8961,0.8800,0.8961,0.9400,1.0000,1.0600,1.1039,1.1200,1.1039
BE-004,Allerdyn,BE,digestive,heartburn,14.18,4.54,0.680,16020.0,1.1559,1.0900,1.0000,0.9100,0.8441,0.8200,0.8441,0.9100,1.0000,1.0900,1.1559,1.1800
BE-005,Gastrivo,BE,vitamins,immunity,15.98,5.15,0.678,20490.3,1.1500,1.0000,0.8500,0.7402,0.7000,0.7402,0.8500,1.0000,1.1500,1.2598,1.3000,1.2598
BE-006,Dermalix,BE,skin,dry_skin,9.99,4.00,0.600,17650.4,0.7800,0.8095,0.8900,1.0000,1.1100,1.1905,1.2200,1.1905,1.1100,1.0000,0.8900,0.8095
BE-007,Immunova,BE,cold_flu,cough,8.67,3.34,0.615,24748.5,1.5500,1.4763,1.2750,1.0000,0.7250,0.5237,0.4500,0.5237,0.7250,1.0000,1.2750,1.4763
BE-008,Zentheva,BE,allergy,seasonal_allergy,11.37,3.60,0.683,11129.0,0.7750,1.0000,1.2250,1.3897,1.4500,1.3897,1.2250,1.0000,0.7750,0.6103,0.5500,0.6103
BE-009,Nasolyn,BE,pain,headache,7.74,3.24,0.581,32449.0,1.0600,1.0000,0.9400,0.8961,0.8800,0.8961,0.9400,1.0000,1.0600,1.1039,1.1200,1.1039
BE-010,Tussivar,BE,digestive,heartburn,13.07,5.38,0.588,13393.0,1.1559,1.0900,1.0000,0.9100,0.8441,0.8200,0.8441,0.9100,1.0000,1.0900,1.1559,1.1800
BE-011,Pollenex,BE,vitamins,immunity,15.10,4.94,0.673,15899.6,1.1500,1.0000,0.8500,0.7402,0.7000,0.7402,0.8500,1.0000,1.1500,1.2598,1.3000,1.2598
BE-012,Ventaris,BE,skin,dry_skin,10.78,3.90,0.638,14045.3,0.7800,0.8095,0.8900,1.0000,1.1100,1.1905,1.2200,1.1905,1.1100,1.0000,0.8900,0.8095
DE-001,Cutalis,DE,cold_flu,cough,8.81,3.33,0.622,206969.1,1.5500,1.4763,1.2750,1.0000,0.7250,0.5237,0.4500,0.5237,0.7250,1.0000,1.2750,1.4763
DE-002,Vitarel,DE,allergy,seasonal_allergy,11.63,4.16,0.642,79596.0,0.7750,1.0000,1.2250,1.3897,1.4500,1.3897,1.2250,1.0000,0.7750,0.6103,0.5500,0.6103
DE-003,Enterix,DE,pain,headache,7.47,2.95,0.605,152510.0,1.0600,1.0000,0.9400,0.8961,0.8800,0.8961,0.9400,1.0000,1.0600,1.1039,1.1200,1.1039
DE-004,Algivan,DE,digestive,heartburn,13.14,4.77,0.637,114982.1,1.1559,1.0900,1.0000,0.9100,0.8441,0.8200,0.8441,0.9100,1.0000,1.0900,1.1559,1.1800
DE-005,Myoril,DE,vitamins,immunity,14.49,4.78,0.670,117386.9,1.1500,1.0000,0.8500,0.7402,0.7000,0.7402,0.8500,1.0000,1.1500,1.2598,1.3000,1.2598
DE-006,Sinuvent,DE,skin,dry_skin,9.91,3.40,0.657,86235.1,0.7800,0.8095,0.8900,1.0000,1.1100,1.1905,1.2200,1.1905,1.1100,1.0000,0.8900,0.8095
DE-007,Histalim,DE,cold_flu,cough,8.80,3.42,0.611,221189.6,1.5500,1.4763,1.2750,1.0000,0.7250,0.5237,0.4500,0.5237,0.7250,1.0000,1.2750,1.4763
DE-008,Reflexan,DE,allergy,seasonal_allergy,11.60,4.14,0.643,90463.3,0.7750,1.0000,1.2250,1.3897,1.4500,1.3897,1.2250,1.0000,0.7750,0.6103,0.5500,0.6103
DE-009,Probivia,DE,pain,headache,7.21,2.79,0.613,211313.5,1.0600,1.0000,0.9400,0.8961,0.8800,0.8961,0.9400,1.0000,1.0600,1.1039,1.1200,1.1039
DE-010,Solarix,DE,digestive,heartburn,12.52,5.02,0.599,103704.8,1.1559,1.0900,1.0000,0.9100,0.8441,0.8200,0.8441,0.9100,1.0000,1.0900,1.1559,1.1800
DE-011,Ferrovita,DE,vitamins,immunity,14.25,3.63,0.745,132733.3,1.1500,1.0000,0.8500,0.7402,0.7000,0.7402,0.8500,1.0000,1.1500,1.2598,1.3000,1.2598
DE-012,Neuralgo,DE,skin,dry_skin,8.93,3.63,0.593,94036.8,0.7800,0.8095,0.8900,1.0000,1.1100,1.1905,1.2200,1.1905,1.1100,1.0000,0.8900,0.8095
PL-001,Thoraxin,PL,cold_flu,cough,5.77,2.39,0.585,77704.5,1.5500,1.4763,1.2750,1.0000,0.7250,0.5237,0.4500,0.5237,0.7250,1.0000,1.2750,1.4763
PL-002,Claritan,PL,allergy,seasonal_allergy,8.20,2.43,0.704,40741.4,0.7750,1.0000,1.2250,1.3897,1.4500,1.3897,1.2250,1.0000,0.7750,0.6103,0.5500,0.6103
PL-003,Epidermo,PL,pain,headache,4.95,2.26,0.544,72832.7,1.0600,1.0000,0.9400,0.8961,0.8800,0.8961,0.9400,1.0000,1.0600,1.1039,1.1200,1.1039
PL-004,Colovance,PL,digestive,heartburn,8.67,3.39,0.609,55761.3,1.1559,1.0900,1.0000,0.9100,0.8441,0.8200,0.8441,0.9100,1.0000,1.0900,1.1559,1.1800
PL-005,Respiven,PL,vitamins,immunity,10.09,2.68,0.734,72117.0,1.1500,1.0000,0.8500,0.7402,0.7000,0.7402,0.8500,1.0000,1.1500,1.2598,1.3000,1.2598
PL-006,Aurivit,PL,skin,dry_skin,7.02,3.19,0.545,48172.9,0.7800,0.8095,0.8900,1.0000,1.1100,1.1905,1.2200,1.1905,1.1100,1.0000,0.8900,0.8095
PL-007,Lacrimex,PL,cold_flu,cough,6.30,2.56,0.594,81057.1,1.5500,1.4763,1.2750,1.0000,0.7250,0.5237,0.4500,0.5237,0.7250,1.0000,1.2750,1.4763
PL-008,Dolorex,PL,allergy,seasonal_allergy,7.95,3.16,0.602,53981.3,0.7750,1.0000,1.2250,1.3897,1.4500,1.3897,1.2250,1.0000,0.7750,0.6103,0.5500,0.6103
PL-009,Mucolex,PL,pain,headache,5.39,1.95,0.639,88092.1,1.0600,1.0000,0.9400,0.8961,0.8800,0.8961,0.9400,1.0000,1.0600,1.1039,1.1200,1.1039
PL-010,Biotivia,PL,digestive,heartburn,9.18,3.22,0.649,53991.9,1.1559,1.0900,1.0000,0.9100,0.8441,0.8200,0.8441,0.9100,1.0000,1.0900,1.1559,1.1800
PL-011,Skinvera,PL,vitamins,immunity,11.08,3.12,0.718,75570.6,1.1500,1.0000,0.8500,0.7402,0.7000,0.7402,0.8500,1.0000,1.1500,1.2598,1.3000,1.2598
PL-012,Nutrilan,PL,skin,dry_skin,7.60,3.04,0.600,57174.2,0.7800,0.8095,0.8900,1.0000,1.1100,1.1905,1.2200,1.1905,1.1100,1.0000,0.8900,0.8095
RS-001,Pharyngo,RS,cold_flu,cough,4.86,1.84,0.622,15032.6,1.5500,1.4763,1.2750,1.0000,0.7250,0.5237,0.4500,0.5237,0.7250,1.0000,1.2750,1.4763
RS-002,Osmolyn,RS,allergy,seasonal_allergy,7.05,2.78,0.605,1679.9,0.7750,1.0000,1.2250,1.3897,1.4500,1.3897,1.2250,1.0000,0.7750,0.6103,0.5500,0.6103
RS-003,Cardivit,RS,pain,headache,3.99,1.83,0.541,18423.2,1.0600,1.0000,0.9400,0.8961,0.8800,0.8961,0.9400,1.0000,1.0600,1.1039,1.1200,1.1039
RS-004,Somnera,RS,digestive,heartburn,7.62,2.69,0.647,7627.8,1.1559,1.0900,1.0000,0.9100,0.8441,0.8200,0.8441,0.9100,1.0000,1.0900,1.1559,1.1800
RS-005,Venoxil,RS,vitamins,immunity,8.90,3.02,0.661,9569.0,1.1500,1.0000,0.8500,0.7402,0.7000,0.7402,0.8500,1.0000,1.1500,1.2598,1.3000,1.2598
RS-006,Hepatiq,RS,skin,wound_care,5.94,2.49,0.580,9346.5,0.7800,0.8095,0.8900,1.0000,1.1100,1.1905,1.2200,1.1905,1.1100,1.0000,0.8900,0.8095
RS-007,Uroventa,RS,cold_flu,cough,4.76,1.60,0.663,16519.7,1.5500,1.4763,1.2750,1.0000,0.7250,0.5237,0.4500,0.5237,0.7250,1.0000,1.2750,1.4763
RS-008,Zincora,RS,allergy,seasonal_allergy,6.64,2.20,0.669,6255.0,0.7750,1.0000,1.2250,1.3897,1.4500,1.3897,1.2250,1.0000,0.7750,0.6103,0.5500,0.6103
RS-009,Magnevia,RS,pain,headache,4.38,1.71,0.610,12415.6,1.0600,1.0000,0.9400,0.8961,0.8800,0.8961,0.9400,1.0000,1.0600,1.1039,1.1200,1.1039
RS-010,Omegalis,RS,digestive,heartburn,7.41,2.40,0.676,8309.6,1.1559,1.0900,1.0000,0.9100,0.8441,0.8200,0.8441,0.9100,1.0000,1.0900,1.1559,1.1800
RS-011,Calmivar,RS,vitamins,immunity,8.43,2.53,0.700,10969.1,1.1500,1.0000,0.8500,0.7402,0.7000,0.7402,0.8500,1.0000,1.1500,1.2598,1.3000,1.2598
RS-012,Rheumex,RS,skin,dry_skin,5.99,2.58,0.569,10379.6,0.7800,0.8095,0.8900,1.0000,1.1100,1.1905,1.2200,1.1905,1.1100,1.0000,0.8900,0.8095
